,drug,text,dcpl,flint
0,Risperidone,Risperidone is used to treat schizophrenia in adults and children who are at least 13 years old.,"

{
  ""treatment"": {
    ""plus"": ""*risperidone""
  },
  ""age"": {
    ""$ref"": ""#/$defs/power_frame"",
    ""position"": ""power"",
    ""holder"": ""*patient"",
    ""action"": ""~age"",
    ""consequence"": {
      ""entity"": ""*patient"",
      ""in"": {
        ""expression"": "">=13""
      }
    }
  },
  ""condition"": {
    ""$ref"": ""#/$defs/power_frame"",
    ""position"": ""power"",
    ""holder"": ""*patient"",
    ""action"": ""~condition"",
    ""consequence"": {
      ""entity"": ""*patient"",
      ""in"": {
        ""expression"": ""#schizophrenia""
      }
    }
  },
  ""patient"": {
    ""$ref"": ""#/$defs/power_frame"",
    ""position"": ""power"",
    ""holder"": ""*patient"",
    ""action"": ""~patient"",
    ""consequence"": {
      ""entity"": ""*patient"",
      ""in"": {
        ""expression"": ""#adult""
      },
      ""out"": {
        ""expression"": ""#child""
      }
    }
  },
  ""patient.age"": {
    ""$ref"": ""#/$defs/power_frame"",
    ""position"": ""power"",
    ""holder"": ""*patient"",
    ""action"": ""~age"",
    ""consequence"": {
      ""entity"": ""*patient.age"",
      ""in"": {
        ""expression"": "">=13""
      }
    }
  },
  ""patient.condition"": {
    ""$ref"": ""#/$defs/power_frame"",
    ""position"": ""power"",
    ""holder"": ""*patient"",
    ""action"": ""~condition"",
    ""consequence"": {
      ""entity"": ""*patient.condition"",
      ""in"": {
        ""expression"": ""#schizophrenia""
      }
    }
  },
  ""patient.treatment"": {
    ""$ref"": ""#/$defs/power_frame"",
    ""position"": ""power"",
    ""holder"": ""*patient"",
    ""action"": ""~treatment"",
    ""consequence"": {
      ""entity"": ""*patient.treatment"",
      ""in"": {
        ""expression"": ""+risperidone""
      }
    }
  },
  ""patient.age"": {
    ""$ref"": ""#/$defs/power_frame"",
    ""position"": ""power"",
    ""holder"": ""*patient"",
    ""action"": ""~age"",
    ""consequence"": {
      ""entity"": ""*patient.age"",
      ""in"": {
        ""expression"": "">=13""
      }
    }
  }
}","

Fact medication
Identified by String ""Risperidone""
For String ""schizophrenia""
For person adult
For person child
Holds when age >= 13

Fact treatment
Identified by medication * schizophrenia
For person adult
For person child
Holds when age >= 13

Fact schizophrenia - adult
Identified by adult
Holds when treatment ( medication , schizophrenia , adult )

Fact schizophrenia - child
Identified by child
Holds when treatment ( medication , schizophrenia , child )"
1,Risperidone,Risperidone is also used to treat symptoms of bipolar disorder (manic depression) in adults and children who are at least 10 years old.,"

[
  {
    ""compound"": ""treatment of bipolar disorder"",
    ""params"": [
      ""adults"",
      ""children aged 10 years or older""
    ],
    ""content"": [
      {
        ""condition"": ""#response { target: medication }"",
        ""conclusion"": ""#continue { target: risperidone }""
      },
      {
        ""event"": ""#adverse_effect { target: patient }"",
        ""reaction"": {
          ""minus"": ""treatment plan"",
          ""plus"": ""#declare_violation { target: treatment plan }""
        }
      }
    ]
  },
  {
    ""reference"": ""patient"",
    ""refinement"": {
      ""type"": ""object"",
      ""properties"": {
        ""identification"": {
          ""type"": ""string""
        },
        ""medical_history"": {
          ""type"": ""string""
        }
      }
    },
    ""alias"": ""patient_profile""
  }
]","
Fact risperidone Used to treat symptoms of bipolar disorder Identified by String Placeholder patient For person Placeholder disorder For disorder Fact bipolar - disorder Identified by bipolar - disorder * patient Fact age Identified by patient Act treat Actor patient Condition bipolar - disorder ( patient ) && age ( patient ) >= 10 Terminates bipolar - disorder ( patient ) Holds when risperidone ( patient )"
2,Risperidone,Risperidone is not approved for use in older adults with dementia-related psychosis.,"

[
  {
    ""condition"": ""*Risperidone"",
    ""conclusion"": ""#prohibited"",
    ""alias"": ""older adults with dementia-related psychosis""
  },
  {
    ""condition"": ""*Risperidone"",
    ""conclusion"": ""#use"",
    ""alias"": ""older adults with dementia-related psychosis"",
    ""context"": ""#dementia-related psychosis""
  }
]","

Fact drug ""Risperidone"" Identified by String
Fact approved - for - use - in - older - adults - with - dementia - related - psychosis Identified by drug NOT (dementia - related - psychosis)"
3,Risperidone,"While you are taking this medicine, you may be more sensitive to temperature extremes such as very hot or cold conditions. Avoid getting too cold, or becoming overheated or dehydrated. Drink plenty of fluids, especially in hot weather and during exercise.","

[
  {
    ""reference"": ""#taking_medicine"",
    ""refinement"": {
      ""reference"": ""#sensitive_to_temperature_extremes"",
      ""refinement"": {
        ""condition"": {
          ""reference"": ""#very_hot"",
          ""refinement"": {
            ""transition_event"": {
              ""reference"": ""#very_cold""
            }
          }
        }
      }
    }
  },
  {
    ""reference"": ""#avoid"",
    ""refinement"": {
      ""reference"": ""#getting_too_cold"",
      ""refinement"": {
        ""transition_event"": {
          ""reference"": ""#becoming_overheated""
        },
        ""transition_event"": {
          ""reference"": ""#becoming_dehydrated""
        }
      }
    }
  },
  {
    ""reference"": ""#drink"",
    ""refinement"": {
      ""transition_event"": {
        ""reference"": ""#+fluids"",
        ""refinement"": {
          ""condition"": {
            ""reference"": ""#hot_weather"",
            ""refinement"": {
              ""transition_event"": {
                ""reference"": ""#exercise""
              }
            }
          }
        }
      }
    }
  }
]
","

Fact medicine Being taken by person Placeholder temperature Act become - sensitive - to Actor person Recipient temperature - extremes Holds when medicine ( person ) Act avoid Actor person Creates get - too - cold ( person ) Holds when temperature ( person ) Act avoid Actor person Creates become - overheated ( person ) Holds when temperature ( person ) Act avoid Actor person Creates become - dehydrated ( person ) Holds when temperature ( person ) Act drink Actor person Creates drink - plenty - of - fluids ( person ) Holds when temperature ( person ) Act drink Actor person Creates drink - fluids - in - hot - weather ( person ) Holds when temperature ( person ) Act drink Actor person Creates drink - fluids - during - exercise ( person ) Holds when temperature ( person )"
4,Risperidone,Risperidone may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert. Drinking alcohol can increase certain side effects of this medicine.,"

[
  {
    ""condition"": {
      ""reference"": ""Risperidone"",
      ""refinement"": {
        ""descriptor"": ""impairment""
      }
    },
    ""conclusion"": {
      ""plus"": [
        {
          ""reference"": ""thinking"",
          ""refinement"": {
            ""literals"": true
          }
        },
        {
          ""reference"": ""reactions"",
          ""refinement"": {
            ""literals"": true
          }
        }
      ]
    }
  },
  {
    ""condition"": {
      ""reference"": ""Drinking alcohol""
    },
    ""conclusion"": {
      ""plus"": [
        {
          ""reference"": ""certain side effects"",
          ""refinement"": {
            ""literals"": true
          }
        }
      ]
    }
  },
  {
    ""event"": {
      ""reference"": ""Risperidone"",
      ""refinement"": {
        ""descriptor"": ""impairment""
      }
    },
    ""reaction"": {
      ""minus"": [
        {
          ""reference"": ""drive"",
          ""refinement"": {
            ""prefixed_literals"": ""#drive""
          }
        },
        {
          ""reference"": ""do anything"",
          ""refinement"": {
            ""prefixed_literals"": ""#alert""
          }
        }
      ]
    }
  },
  {
    ""event"": {
      ""reference"": ""Risperidone"",
      ""refinement"": {
        ""descriptor"": ""impairment""
      }
    },
    ""reaction"": {
      ""minus"": [
        {
          ""reference"": ""borrowing limitations"",
          ""refinement"": {
            ""literals"": true
          }
        }
      ]
    }
  },
  {
    ""event"": {
      ""reference"": ""Risperidone"",
      ""refinement"": {
        ""descriptor"": ""impairment""
      }
    },
    ""reaction"": {
      ""minus"": [
        {
          ""reference"": ""register as members"",
          ""refinement"": {
            ""literals"": true
          }
        }
      ]
    }
  },
  {
    ""event"": {
      ""reference"": ""Risperidone"",
      ""refinement"": {
        ""descriptor"": ""impairment""
      }
    },
    ""reaction"": {
      ""minus"": [
        {
          ""reference"": ""failure to follow rules"",
          ""refinement"": {
            ""literals"": true
          }
        }
      ]
    }
  },
  {
    ""condition"": {
      ""reference"": ""Risperidone"",
      ""refinement"": {
        ""descriptor"": ""impairment""
      }
    },
    ""conclusion"": {
      ""plus"": [
        {
          ""reference"": ""library regulation"",
          ""refinement"": {
            ""literals"": true
          }
        }
      ]
    }
  },
  {
    ""condition"": {
      ""reference"": ""Drinking alcohol""
    },
    ""conclusion"": {
      ""plus"": [
        {
          ""reference"": ""library regulation"",
          ""refinement"": {
            ""literals"": true
          }
        }
      ]
    }
  }
]","

Fact risperidone Impairs thinking or reactions Act drive Actor Person Recipient None Requires Alertness Duty drive Holder Person Claimant None Violated when Impairs thinking or reactions (risperidone) Act drink - alcohol Actor Person Recipient None Increases Certain side effects of risperidone Duty drink - alcohol Holder Person Claimant None Violated when Certain side effects of risperidone (risperidone)"
5,Lunesta,"Lunesta is a sedative, also called a hypnotic. It affects chemicals in your brain that may be unbalanced in people with sleep problems (insomnia).","

{
  ""Object"": ""Lunesta"",
  ""Descriptors"": [
    ""Sedative"",
    ""Hypnotic""
  ],
  ""Object properties"": [
    ""Chemicals in brain (affected by)""
  ],
  ""Transformational rule"": {
    ""condition"": ""Insomnia"",
    ""conclusion"": ""Lunesta""
  },
  ""Reactive rule"": {
    ""event"": ""#sleep_problem"",
    ""reaction"": ""Lunesta""
  },
  ""Descriptors"": [
    ""Unbalanced brain chemicals""
  ],
  ""Normative Positions"": ""Lunesta follows Hohfeld's normative concepts with fixed parameters, allowing instantiation through rules."",
  ""Composite Object"": ""Sleep problems can be composed from unbalanced brain chemicals in DPCL, offering parameterizable compounds."",
  ""Library regulation"": ""exemplifies normative systems in DPCL."",
  ""Lunesta users"": {
    ""can take Lunesta to balance their brain chemicals"": {
      ""power"": {
        ""holder"": ""d1.counterparty"",
        ""action"": ""#declare_violation"",
        ""consequence"": ""+d1.violation""
      },
      ""duty"": ""follow dosage instructions"",
      ""violation"": ""refrain from operating heavy machinery while under its effects""
    }
  },
  ""Notably"": ""violations play a significant role in DPCL, similar to deontic-based languages."",
  ""DPCL"": {
    ""offers"": ""the granularity to monitor and declare violations."",
    ""allows for"": ""transformations, used to uncover general normative patterns, which can be readily generalized through rewriting rules.""
  }
}","
Fact drug
Identified by String Lunesta
Type sedative
Type hypnotic
Fact brain
Identified by String your brain
Type chemical
Type unbalanced
Fact sleep - problems
Identified by String insomnia
Type problem
Fact affects
Identified by drug * brain
Act affect
Actor Lunesta
Recipient your brain
Fact unbalanced - brain
Derived from affects
Fact people
Identified by String people with sleep problems
Type person
Type sleep - problems
Fact insomnia
Identified by people
Fact unbalanced - people
Derived from unbalanced - brain
Derived from people
Fact sleep - help
Identified by people * insomnia
Type help - with - sleep
Act help
Actor people
Recipient insomnia
Creates sleep - help (people, insomnia)"
6,Lunesta,"Some people using this medicine have engaged in activity such as driving, eating, or making phone calls and later having no memory of the activity. If this happens to you, stop taking Lunesta and talk with your doctor about another treatment for your sleep disorder.","

[
  {
    ""condition"": {
      ""reference"": {
        ""alias"": ""medicine users"",
        ""refinement"": {
          ""reference"": ""medicine users""
        }
      },
      ""conclusion"": {
        ""minus"": {
          ""reference"": ""Lunesta""
        }
      }
    },
    ""reaction"": {
      ""entity"": {
        ""alias"": ""talk with doctor"",
        ""refinement"": {
          ""reference"": ""talk with doctor"",
          ""alias"": ""for sleep disorder treatment""
        }
      }
    }
  }
]","

Fact Person Uses Medicine Identified by String Placeholder medicine For medicine Fact Engaged - In - Activity Identified by person * activity Fact Driving Identified by person Fact Eating Identified by person Fact Making - Phone - Calls Identified by person Fact No - Memory - Of - Activity Identified by person Duty Stop - Taking - Medicine Holder person Claimant medicine Violated when Engaged - In - Activity ( person , Driving ) || Engaged - In - Activity ( person , Eating ) || Engaged - In - Activity ( person , Making - Phone - Calls ) || No - Memory - Of - Activity ( person ) Act Talk - With - Doctor Actor person Recipient doctor Creates discuss - alternative - treatment ( person , medicine ) Holds when Uses Medicine ( person , Lunesta )"
7,Lunesta,"Lunesta may cause a severe allergic reaction. Stop taking this medicine and get emergency medical help if you have any of these signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.","


[
  {
    ""plus"": {
      ""entity"": ""Lunesta"",
      ""in"": ""#allergy""
    },
    ""minus"": ""#severe_reaction""
  },
  {
    ""event"": ""#severe_reaction"",
    ""reaction"": [
      ""#stop_taking"",
      ""#emergency_medical_help"",
      ""#allergic_signs""
    ]
  },
  {
    ""event"": ""#allergic_signs"",
    ""reaction"": [
      ""#hives"",
      ""#difficulty_breathing"",
      ""#swelling""
    ]
  },
  {
    ""event"": ""#swelling"",
    ""reaction"": [
      ""#face"",
      ""#lips"",
      ""#tongue"",
      ""#throat""
    ]
  }
]","

Type Lunesta: Medication
Type allergicReaction: Reaction
Type severe: Severity
Type allergicReactionSigns: Signs
Type hives: SkinCondition
Type difficultyBreathing: RespiratoryCondition
Type swelling: BodyCondition
Type face: BodyPart
Type lips: BodyPart
Type tongue: BodyPart
Type throat: BodyPart
Type emergencyMedicalHelp: MedicalAssistance

Scenario LunestaCausesAllergicReaction:
Statements:
- Type Lunesta can cause an instance of severe allergicReaction
- If a person experiences hives, difficultyBreathing, or swelling of their face, lips, tongue, or throat, they may be having an instance of allergicReaction
- If a person experiences an instance of severe allergicReaction, they should stop taking Lunesta and seek emergencyMedicalHelp immediately."
8,Lunesta,"Lunesta will make you fall asleep. Never take this medication during your normal waking hours, unless you have at least 8 hours to dedicate to sleeping.","

[
  {
    ""condition"": ""#lunesta"",
    ""conclusion"": ""+fall_asleep""
  },
  {
    ""condition"": {
      ""allOf"": [
        ""#lunesta"",
        {
          ""external_expression"": ""now() < 8 hours""
        }
      ]
    },
    ""conclusion"": {
      ""power"": {
        ""holder"": ""user"",
        ""action"": ""#declare_violation"",
        ""consequence"": ""+Rule 2.violation""
      }
    }
  }
]","

Fact medication Named ""Lunesta"" Fact person Asleep Identified by String Placeholder person Fact medication - taken Identified by medication * person Duty medication - taken Holder person Claimant medication Violated when NOT ( Asleep ( person )) Act medication - taken Actor person Recipient medication Creates Asleep ( person ) Holds when medication - taken ( medication , person ) Fact waking - hours Identified by person Duty medication - taken - during - waking - hours Holder person Claimant medication Violated when NOT ( Asleep ( person )) Act medication - taken - during - waking - hours Actor person Recipient medication Terminates Asleep ( person ) Holds when medication - taken - during - waking - hours ( medication , person )"
9,Lunesta,"You should not use Lunesta if you are allergic to eszopiclone, or if you have ever taken sleep medicine and engaged in activity you later don't remember.","

[
  {
    ""condition"": {
      ""plus"": {
        ""reference"": ""#taken"",
        ""refinement"": {
          ""entity"": ""sleep_medicine""
        }
      },
      ""minus"": {
        ""reference"": ""#engaged_in"",
        ""refinement"": {
          ""entity"": ""activity""
        }
      }
    },
    ""conclusion"": {
      ""reference"": ""#not_use"",
      ""refinement"": {
        ""entity"": ""Lunesta""
      }
    }
  },
  {
    ""event"": {
      ""reference"": ""#allergic_to"",
      ""refinement"": {
        ""entity"": ""Lunesta"",
        ""params"": [
          ""eszopiclone""
        ]
      }
    },
    ""reaction"": {
      ""entity"": ""Lunesta"",
      ""out"": {
        ""reference"": ""#not_use""
      }
    }
  }
]","

Duty do not use Lunesta If person is allergic to eszopiclone Or person has taken sleep medicine And engaged in activity That they later do not remember"
